horizon,model,feature_group,split,station,n,mae,rmse,r2,interval_coverage
24,xgboost,E_full,test_selected,Major Dhyan Chand National Stadium Delhi DPCC,3585,50.26252440767807,68.81818288861773,0.7000394849561962,0.894281729428173
24,xgboost,E_full,test_selected,Mandir Marg Delhi DPCC,2811,50.92902577555252,72.32665157200559,0.6618520815466693,0.8943436499466382
24,xgboost,E_full,test_selected,Mundka Delhi DPCC,1919,66.44616757661741,89.63920309742518,0.6275942234588366,0.8249088066701407
24,xgboost,E_full,test_selected,NSIT Dwarka Delhi CPCB,4658,56.0573420256389,78.11443686355737,0.5979461175638778,0.8615285530270502
24,xgboost,E_full,test_selected,Najafgarh Delhi DPCC,3553,52.225916000611,72.64719842879668,0.666853724301895,0.8820714888826344
24,xgboost,E_full,test_selected,Narela Delhi DPCC,3571,54.87038577060277,73.66604635200015,0.6946468383090467,0.8781853822458695
24,xgboost,E_full,test_selected,Nehru Nagar Delhi DPCC,3990,55.415925998735545,75.60723205387902,0.7274811686442318,0.8609022556390977
24,xgboost,E_full,test_selected,Okhla Phase-2 Delhi DPCC,1340,58.16896609690652,77.15000857847815,0.6706602979175345,0.8544776119402985
24,xgboost,E_full,test_selected,Patparganj Delhi DPCC,4244,53.30617298661932,73.88488540966199,0.6979388232553759,0.8701696512723845
24,xgboost,E_full,test_selected,Punjabi Bagh Delhi DPCC,3168,57.98461805329178,77.7719752266495,0.6492105537300751,0.8516414141414141
24,xgboost,E_full,test_selected,Pusa Delhi DPCC,3133,53.92609051443539,75.32545913416973,0.6609926855577342,0.8822215129269071
24,xgboost,E_full,test_selected,R K Puram Delhi DPCC,3912,54.757619195676774,74.59068488451693,0.6468194799074376,0.8744887525562373
24,xgboost,E_full,test_selected,Rohini Delhi DPCC,3353,61.03438129760669,82.10912200212647,0.6417025985628705,0.8368625111840143
24,xgboost,E_full,test_selected,Shadipur Delhi CPCB,6941,57.79144511561523,78.86508586229563,0.62749309553691,0.8650050425010806
24,xgboost,E_full,test_selected,Sirifort Delhi CPCB,2183,47.73986464992773,63.34964902612062,0.7423781792260042,0.9193770041227668
24,xgboost,E_full,test_selected,Sonia Vihar Delhi DPCC,3712,57.12415886747426,77.55518433851574,0.6579077979086534,0.8634159482758621
24,xgboost,E_full,test_selected,Sri Aurobindo Marg Delhi DPCC,3866,46.019522885491796,63.955010139661404,0.7494468370659948,0.9048111743404035
24,xgboost,E_full,test_selected,Vivek Vihar Delhi DPCC,3777,56.906349466943475,76.32329719563661,0.6717381611112851,0.8612655546730209
24,xgboost,E_full,test_selected,Wazirpur Delhi DPCC,2488,62.934225744756475,85.1508895679725,0.5956540964193757,0.8420418006430869
