station,horizon,persistence,actual_events,predicted_events,matched_events,false_alarms,missed_events,event_precision,event_recall,event_f1,onset_error_hours,onset_error_hours_n,peak_error_hours,peak_error_hours_n,duration_error_hours,duration_error_hours_n,recovery_error_hours,recovery_error_hours_n
Najafgarh Delhi DPCC,1,2,84,69,62,7,22,0.8985507246376812,0.7380952380952381,0.8104575163398693,1.7777777777777777,54,3.435483870967742,62,2.450980392156863,51,1.456140350877193,57
Najafgarh Delhi DPCC,1,3,62,51,46,5,16,0.9019607843137255,0.7419354838709677,0.8141592920353982,1.85,40,4.173913043478261,46,2.5945945945945947,37,1.5121951219512195,41
Najafgarh Delhi DPCC,1,6,37,31,28,3,9,0.9032258064516129,0.7567567567567568,0.823529411764706,1.7083333333333333,24,5.75,28,2.9523809523809526,21,1.9130434782608696,23
Najafgarh Delhi DPCC,6,2,87,54,35,19,52,0.6481481481481481,0.40229885057471265,0.49645390070921985,6.888888888888889,27,4.085714285714285,35,7.958333333333333,24,4.16,25
Najafgarh Delhi DPCC,6,3,64,50,33,17,31,0.66,0.515625,0.5789473684210525,7.32,25,4.333333333333333,33,8.454545454545455,22,4.434782608695652,23
Najafgarh Delhi DPCC,6,6,35,33,22,11,13,0.6666666666666666,0.6285714285714286,0.6470588235294118,8.263157894736842,19,5.863636363636363,22,9.875,16,5.882352941176471,17
Najafgarh Delhi DPCC,12,2,86,59,37,22,49,0.6271186440677966,0.43023255813953487,0.5103448275862069,10.461538461538462,26,6.486486486486487,37,10.590909090909092,22,3.4,25
Najafgarh Delhi DPCC,12,3,66,45,28,17,38,0.6222222222222222,0.42424242424242425,0.5045045045045045,12.947368421052632,19,8.25,28,12.1875,16,3.611111111111111,18
Najafgarh Delhi DPCC,12,6,41,32,24,8,17,0.75,0.5853658536585366,0.6575342465753423,14.0,17,9.458333333333334,24,13.571428571428571,14,3.875,16
Najafgarh Delhi DPCC,24,2,84,56,39,17,45,0.6964285714285714,0.4642857142857143,0.5571428571428572,7.44,25,5.794871794871795,39,7.75,20,4.185185185185185,27
Najafgarh Delhi DPCC,24,3,64,48,34,14,30,0.7083333333333334,0.53125,0.6071428571428571,8.571428571428571,21,6.4411764705882355,34,8.941176470588236,17,4.625,24
Najafgarh Delhi DPCC,24,6,39,36,24,12,15,0.6666666666666666,0.6153846153846154,0.64,10.5625,16,7.666666666666667,24,10.76923076923077,13,6.0588235294117645,17
Narela Delhi DPCC,1,2,105,100,84,16,21,0.84,0.8,0.8195121951219512,1.9857142857142858,70,2.142857142857143,84,2.7457627118644066,59,1.4142857142857144,70
Narela Delhi DPCC,1,3,83,81,71,10,12,0.8765432098765432,0.8554216867469879,0.8658536585365854,2.103448275862069,58,2.352112676056338,71,3.142857142857143,49,1.5,60
Narela Delhi DPCC,1,6,59,56,52,4,7,0.9285714285714286,0.8813559322033898,0.9043478260869564,2.3902439024390243,41,2.673076923076923,52,3.8529411764705883,34,1.7209302325581395,43
Narela Delhi DPCC,6,2,116,78,61,17,55,0.782051282051282,0.5258620689655172,0.6288659793814433,5.8,40,5.426229508196721,61,9.310344827586206,29,5.358974358974359,39
Narela Delhi DPCC,6,3,92,69,54,15,38,0.782608695652174,0.5869565217391305,0.6708074534161491,6.1891891891891895,37,5.944444444444445,54,9.5,28,5.742857142857143,35
Narela Delhi DPCC,6,6,54,44,36,8,18,0.8181818181818182,0.6666666666666666,0.7346938775510203,7.310344827586207,29,8.25,36,9.863636363636363,22,6.142857142857143,28
Narela Delhi DPCC,12,2,116,75,58,17,58,0.7733333333333333,0.5,0.6073298429319371,5.925,40,5.948275862068965,58,11.555555555555555,27,5.848484848484849,33
Narela Delhi DPCC,12,3,93,66,52,14,41,0.7878787878787878,0.5591397849462365,0.6540880503144654,6.3428571428571425,35,6.519230769230769,52,11.458333333333334,24,5.633333333333334,30
Narela Delhi DPCC,12,6,64,49,42,7,22,0.8571428571428571,0.65625,0.743362831858407,7.928571428571429,28,8.476190476190476,42,13.428571428571429,21,7.0,26
Narela Delhi DPCC,24,2,111,81,64,17,47,0.7901234567901234,0.5765765765765766,0.6666666666666667,5.295454545454546,44,5.03125,64,9.5,30,4.512195121951219,41
Narela Delhi DPCC,24,3,86,67,53,14,33,0.7910447761194029,0.6162790697674418,0.6928104575163397,6.176470588235294,34,5.962264150943396,53,10.652173913043478,23,5.0606060606060606,33
Narela Delhi DPCC,24,6,62,46,38,8,24,0.8260869565217391,0.6129032258064516,0.7037037037037037,6.608695652173913,23,6.973684210526316,38,8.933333333333334,15,4.541666666666667,24
